total_changes,churn_ratio,avg_changes_per_file,additions,deletions,changed_files,commits_per_file,review_intensity,commits,has_reviewer,solo_pr,many_reviewers,num_reviewers,review_hours,fast_merge,day_of_week,is_weekend,keyword_count,diff_lines,has_test_file,has_config_file,num_python_files,num_js_files,title_length,comments,review_comments
217.0,0.013953488372093023,72.33333333333333,214.0,3.0,2.0,0.3333333333333333,0.0,1,1,0,0,1,152.045,0,1,0,0,62,0,0,0,0,61,1,0
412.0,0.05897435897435897,31.692307692307693,389.0,23.0,12.0,0.8461538461538461,0.4166666666666667,11,1,0,0,2,261.8586111111111,0,4,0,0,64,1,0,0,11,42,1,5
28.0,0.2608695652173913,14.0,22.0,6.0,1.0,2.0,0.0,4,1,0,0,1,2.7866666666666666,0,1,0,1,56,0,0,0,0,50,1,0
106.0,0.028846153846153848,9.636363636363637,103.0,3.0,10.0,0.18181818181818182,2.0,2,1,0,1,3,15.564166666666667,0,0,0,0,61,1,0,0,10,59,0,6
10.0,0.0,3.3333333333333335,10.0,0.0,2.0,0.3333333333333333,0.0,1,1,0,0,2,25.92861111111111,0,0,0,2,17,0,0,0,1,46,4,0
4004.0,0.3037109375,80.08,3071.0,933.0,49.0,0.46,0.2916666666666667,23,1,0,1,6,91.98861111111111,0,3,0,1,26,1,0,0,48,51,0,7
2921.0,0.5932388222464559,42.333333333333336,1833.0,1088.0,68.0,0.3333333333333333,0.125,23,1,0,0,2,6.635833333333333,0,0,0,1,65,1,1,0,58,35,4,3
16.0,0.5454545454545454,8.0,10.0,6.0,1.0,0.5,0.0,1,1,0,0,1,0.36,1,1,0,0,72,0,0,0,0,61,0,0
342.0,0.017804154302670624,31.09090909090909,336.0,6.0,10.0,0.2727272727272727,0.5,3,1,0,0,2,21.02722222222222,0,1,0,3,47,1,0,0,10,44,0,2
30.0,0.34782608695652173,5.0,22.0,8.0,5.0,0.5,1.0,3,1,0,0,2,7.384444444444444,0,0,0,1,36,0,0,0,5,50,0,4
58.0,0.9666666666666667,19.333333333333332,29.0,29.0,2.0,0.3333333333333333,0.0,1,1,0,0,1,0.5716666666666667,1,1,0,1,68,0,1,0,2,64,0,0
12.0,0.0,6.0,12.0,0.0,1.0,0.5,1.0,1,1,0,1,3,22.72972222222222,0,0,0,2,19,0,0,0,1,59,1,2
233.0,0.04,77.66666666666667,224.0,9.0,2.0,0.6666666666666666,0.0,2,1,0,0,1,1.0152777777777777,1,1,0,0,62,0,0,0,0,47,0,0
223.0,0.14871794871794872,44.6,194.0,29.0,4.0,0.6,1.0,3,1,0,1,3,83.5725,0,4,0,1,73,1,0,0,4,67,0,4
128.0,0.0,25.6,128.0,0.0,4.0,0.8,1.0,4,1,0,1,6,30.403055555555557,0,0,0,1,57,1,0,0,4,54,0,5
294.0,1.43801652892562,49.0,120.0,174.0,5.0,0.3333333333333333,0.6666666666666666,2,1,0,1,3,4.83,0,1,0,1,54,1,0,0,5,44,1,2
1452.0,0.04457225017972682,96.8,1390.0,62.0,14.0,0.6,0.0,9,1,0,0,2,3.1133333333333333,0,1,0,1,30,1,1,0,14,70,0,0
200.0,0.9900990099009901,10.526315789473685,100.0,100.0,18.0,0.05263157894736842,0.0,1,0,1,0,0,3.6533333333333333,0,0,0,1,47,1,1,0,16,30,0,0
128.0,0.0,25.6,128.0,0.0,4.0,0.8,1.0,4,1,0,1,6,30.403055555555557,0,0,0,1,57,1,0,0,4,54,0,5
58.0,0.9666666666666667,19.333333333333332,29.0,29.0,2.0,0.3333333333333333,0.0,1,1,0,0,1,0.5716666666666667,1,1,0,1,68,0,1,0,2,64,0,0
16.0,0.5454545454545454,8.0,10.0,6.0,1.0,0.5,0.0,1,1,0,0,1,0.36,1,1,0,0,72,0,0,0,0,61,0,0
294.0,1.43801652892562,49.0,120.0,174.0,5.0,0.3333333333333333,0.6666666666666666,2,1,0,1,3,4.83,0,1,0,1,54,1,0,0,5,44,1,2
3010.0,0.06735200283587381,136.8181818181818,2820.0,190.0,21.0,0.2727272727272727,2.142857142857143,6,1,0,0,2,5.198333333333333,0,1,0,1,60,0,0,0,13,64,0,15
42.0,0.0,21.0,42.0,0.0,1.0,0.5,0.0,1,1,0,0,1,0.37833333333333335,1,1,0,0,41,1,0,0,1,89,1,0
202.0,0.1092896174863388,33.666666666666664,182.0,20.0,5.0,0.5,0.75,3,1,0,0,2,3.8113888888888887,0,1,0,1,57,1,0,0,5,65,0,3
105.0,1.4090909090909092,35.0,43.0,62.0,2.0,0.3333333333333333,1.5,1,1,0,1,3,1.2105555555555556,1,1,0,0,60,0,1,0,2,29,0,3
49.0,3.5454545454545454,8.166666666666666,10.0,39.0,5.0,0.16666666666666666,0.5,1,1,0,0,1,1.1144444444444443,1,1,0,0,54,0,0,0,5,30,0,1
26.0,0.5882352941176471,13.0,16.0,10.0,1.0,2.5,0.3333333333333333,5,1,0,0,2,4.473888888888889,0,1,0,1,31,0,0,0,1,67,8,2
207.0,0.12432432432432433,23.0,184.0,23.0,8.0,0.4444444444444444,1.2,4,1,0,0,2,1.4,1,1,0,0,85,1,1,0,8,67,2,6
18.0,0.26666666666666666,6.0,14.0,4.0,2.0,0.3333333333333333,0.5,1,1,0,1,3,0.37416666666666665,1,1,0,2,38,0,0,0,1,60,2,1
67.0,0.030303030303030304,22.333333333333332,65.0,2.0,2.0,0.3333333333333333,0.0,1,1,0,0,2,0.5625,1,1,0,1,56,1,0,0,2,64,0,0
4.0,0.6666666666666666,1.3333333333333333,2.0,2.0,2.0,0.3333333333333333,0.0,1,1,0,0,1,0.5155555555555555,1,1,0,2,17,0,1,0,2,33,0,0
342.0,0.017804154302670624,31.09090909090909,336.0,6.0,10.0,0.18181818181818182,0.6666666666666666,2,1,0,0,1,4.301111111111111,0,1,0,2,47,1,0,0,10,60,2,2
2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1,1,0,0,2,0.36083333333333334,1,1,0,2,9,0,0,0,1,49,1,1
65.0,0.5,13.0,43.0,22.0,4.0,0.6,0.75,3,1,0,1,3,1.7838888888888889,1,1,0,1,36,0,0,0,1,49,0,3
37.0,0.9,9.25,19.0,18.0,3.0,0.75,0.25,3,1,0,0,2,1.7425,1,1,0,0,62,0,0,0,2,88,1,1
10.0,0.375,3.3333333333333335,7.0,3.0,2.0,1.0,0.75,3,1,0,1,3,0.9427777777777778,1,1,0,2,33,0,0,0,0,31,0,3
5.0,0.0,2.5,5.0,0.0,1.0,0.5,0.0,1,1,0,0,2,1.0825,1,1,0,2,12,0,0,0,1,40,0,0
18.0,0.26666666666666666,6.0,14.0,4.0,2.0,0.6666666666666666,0.0,2,1,0,0,2,1.7902777777777779,1,1,0,2,38,0,0,0,1,74,0,0
30.0,0.9375,4.285714285714286,15.0,15.0,6.0,0.2857142857142857,0.0,2,1,0,0,2,1.551111111111111,1,1,0,1,77,0,1,0,6,29,0,0
2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1,1,0,0,2,0.36083333333333334,1,1,0,2,9,0,0,0,1,49,1,1
4.0,0.6666666666666666,2.0,2.0,2.0,1.0,0.5,0.0,1,1,0,0,1,3.142777777777778,0,1,0,1,11,0,0,0,0,64,1,0
18.0,0.26666666666666666,6.0,14.0,4.0,2.0,0.3333333333333333,0.5,1,1,0,1,3,0.37416666666666665,1,1,0,2,38,0,0,0,1,60,2,1
26.0,0.5882352941176471,13.0,16.0,10.0,1.0,2.5,0.3333333333333333,5,1,0,0,2,4.473888888888889,0,1,0,1,31,0,0,0,1,67,8,2
116.0,0.9830508474576272,23.2,58.0,58.0,4.0,0.6,0.0,3,1,0,0,2,2.108888888888889,0,1,0,0,67,0,1,0,4,38,0,0
105.0,1.4090909090909092,35.0,43.0,62.0,2.0,0.3333333333333333,1.5,1,1,0,1,3,1.2105555555555556,1,1,0,0,60,0,1,0,2,29,0,3
27.0,0.8666666666666667,4.5,14.0,13.0,5.0,0.16666666666666666,0.0,1,1,0,0,2,0.3408333333333333,1,1,0,2,58,1,0,0,5,39,0,0
42.0,0.0,21.0,42.0,0.0,1.0,0.5,0.0,1,1,0,0,1,0.37833333333333335,1,1,0,0,41,1,0,0,1,89,1,0
342.0,0.017804154302670624,31.09090909090909,336.0,6.0,10.0,0.18181818181818182,0.6666666666666666,2,1,0,0,1,4.301111111111111,0,1,0,2,47,1,0,0,10,60,2,2
2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.0,1,1,0,0,2,1.5625,1,1,0,1,9,0,0,0,0,43,1,0
207.0,0.12432432432432433,23.0,184.0,23.0,8.0,0.4444444444444444,1.2,4,1,0,0,2,1.4,1,1,0,0,85,1,1,0,8,67,2,6
